	input	category	prediction
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 18 ) ; drink ( 25 ) ; stool ( 31 ) ; bake ( 42 ) AND agent ( 42 , 18 ) AND theme ( 42 , 25 ) AND location ( 42 , 31 )
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 18 ) ; Hannah ( 24 ) ; bake ( 31 ) AND agent ( 31 , 18 ) AND recipient ( 31 , 24 )
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 42 ) ; tool ( 15 ) ; table ( 33 ) ; bake ( 56 ) AND agent ( 56 , 42 ) AND theme ( 56 , 15 ) AND recipient ( 56 , 33 , beside )
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	* girl ( 10 ) ; * boy ( 20 ) ; trap ( 32 ) ; bake ( 24 ) AND agent ( 24 , 10 ) AND theme ( 24 , 20 ) AND recipient ( 24 , 32 )
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	* girl ( 6 ) ; * patient ( 24 ) ; donut ( 37 ) ; windowsill ( 45 ) ; like ( 15 ) AND agent ( 15 , 6 ) AND recipient ( 15 , 24 ) AND theme ( 37 , 24 ) AND location ( 37 , 45 ) AND bake ( 28 ) AND theme ( 28 , 37 ) AND agent ( 28 , 24 )
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 12 ) ; teacher ( 27 ) ; boy ( 20 ) ; bake ( 40 ) AND theme ( 40 , 20 ) AND agent ( 40 , 27 ) AND hope ( 15 ) AND recipient ( 15 , 27 ) AND theme ( 15 , 40 ) AND agent ( 15 , 12 )
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 31 ) ; Liam ( 32 ) ; bake ( 22 ) AND agent ( 22 , 31 ) AND theme ( 22 , 32 )
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	* frog ( 18 ) ; cake ( 26 ) ; bake ( 33 ) AND agent ( 33 , 18 ) AND theme ( 33 , 26 )
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 7 ) ; donut ( 16 ) ; table ( 24 ) ; bake ( 29 ) AND agent ( 29 , 7 ) AND theme ( 29 , 16 ) AND recipient ( 29 , 24 )
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 13 ) ; Emma ( 23 ) ; bake ( 29 ) AND recipient ( 29 , 23 ) AND agent ( 29 , 13 )
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	* president ( 4 ) ; cake ( 10 ) ; vehicle ( 22 ) ; bake ( 28 ) AND agent ( 28 , 4 ) AND theme ( 28 , 10 ) AND recipient ( 28 , 22 )
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	* spokesman ( 22 ) ; pig ( 29 ) ; bake ( 44 ) AND agent ( 44 , 22 ) AND theme ( 44 , 29 )
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 12 ) ; machine ( 23 ) ; lion ( 36 ) ; box ( 42 ) ; throw ( 46 ) AND theme ( 46 , 12 ) AND agent ( 46 , 36 ) AND loc ( 12 , 23 ) AND loc ( 46 , 42 )
81	The boy on a towel gave the frog the cake on a booklet .	obj_pp_to_subj_pp	* boy ( 5 ) ; * towel ( 7 ) ; * frog ( 23 ) ; * cake ( 30 ) ; * booklet ( 36 ) ; give ( 12 ) AND agent ( 12 , 5 ) AND recipient ( 12 , 23 ) AND theme ( 12 , 30 ) AND source ( 5 , 7 ) AND location ( 23 , 36 )
82	The bird in a box was awarded a ball by the girl beside the machine .	obj_pp_to_subj_pp	* bird in box ( 12 ) ; * girl beside machine ( 35 ) ; * ball ( 42 ) ; award ( 24 ) AND theme ( 24 , 12 ) AND recipient ( 24 , 42 ) AND agent ( 24 , 35 )
83	A producer on a table was given the pumpkin beside a cabinet .	obj_pp_to_subj_pp	producer ( 9 ) ; table ( 16 ) ; pumpkin ( 36 ) ; cabinet ( 43 ) ; give ( 23 ) AND theme ( 23 , 36 ) AND recipient ( 23 , 9 ) AND location ( 9 , 16 ) AND location ( 36 , 43 )
